# AUTHOR: S. F. Sanchez
# SOURCE: Early Studies
# DATE: 2011-12-16
# VERSION: 1.0
# OBJECT: ngc628
# RA_OBJ: 24.17375 | 01:36:41.7
# DEC_OBJ: 15.7836111111111 | +15:47:01.0
# Re: 122.176537805958 | Effective Radius Arcsec
# eRe: 8.82473393492684 | estimated error of the Effective Radius Arcsec
# type_OBJ: Sa(s)c	
# redshift_OBJ: 0.00219
# modz: 29.67, Distance modulus modz = 5 log(DL) + 25
# NON_PHYSICAL_VALUES: rat_Ha_Hb<2.7
# BAD_VALUES: nan
# COLUMN1:   ID         ,   int, , ID of the HII region in the ngc628 galaxy
# COLUMN2:   Flux_Hbeta, float, 10-16 Erg s-1 cm-2 , Hbeta Observed Flux
# COLUMN3:   e_Flux_Hbeta, float, 10-16 Erg s-1 cm-2 , Hbeta Observed Flux Error
# COLUMN4:  rat_OII_Hb, float, , [OII]3727/Hbeta line ratio
# COLUMN5:  e_rat_OII_Hb, float, , [OII]3727/Hbeta line ratio error
# COLUMN6:   rat_OIII_Hb, float, , [OIII]5007/Hbeta line ratio
# COLUMN7:   e_rat_OIII_Hb, float, , [OIII]5007/Hbeta line ratio error
# COLUMN8:   rat_OI_Hb, float, , OI6300/Hbeta line ratio
# COLUMN9:   e_rat_OI_Hb, float, , OI6300/Hbeta line ratio error
# COLUMN10:   rat_Ha_Hb, float, , Halpha/Hbeta line ratio
# COLUMN11:   e_rat_Ha_Hb, float, , Halpha/Hbeta line ratio error
# COLUMN12:   rat_NII_Hb, float, , [NII]6583/Hbeta line ratio
# COLUMN13:  e_rat_NII_Hb, float, , [NII]6583/Hbeta line ratio error
# COLUMN14:   rat_He_Hb, float, , HeI6678/Hbeta line ratio
# COLUMN15:  e_rat_He_Hb, float, , HeI6678/Hbeta line ratio error
# COLUMN16:   rat_SII6717_Hb, float, , [SII]6717/Hbeta line ratio
# COLUMN17:  e_rat_SII6717_Hb, float, , [SII]6717/Hbeta line ratio error
# COLUMN18:   rat_SII6731_Hb, float, , [SII]6731/Hbeta line ratio
# COLUMN19:  e_rat_SII6731_Hb, float, , [SII]6731/Hbeta line ratio error
# COLUMN20:  BTP_type , float, , 0=NO.BTP; 1=SF; 2=SF/AGN; 3=AGN
 ngc628-059        ,   102.722,    8.293,    1.020,   0.720,    0.129,   0.091,      nan,     nan,    3.230,   0.562,    0.929,   0.377,      nan,     nan,    0.505,   0.146,    0.415,   0.138,  1
 ngc628-060        ,    81.188,   13.514,    2.369,   1.129,    0.537,   0.256,    0.046,   0.034,    3.925,   1.244,    1.046,   0.765,    0.050,   0.019,    0.446,   0.300,    0.271,   0.271,  1
 ngc628-061        ,    42.062,   28.483,    1.652,     nan,      nan,     nan,      nan,     nan,    9.793,   7.558,    2.791,   2.817,      nan,     nan,      nan,     nan,      nan,     nan,  0
 ngc628-062        ,    67.183,   17.118,    2.753,   1.090,    1.805,   0.715,      nan,     nan,    3.560,   1.315,    0.829,   0.619,    0.037,   0.024,    0.352,   0.311,      nan,     nan,  1
 ngc628-063        ,    86.373,    6.091,    2.235,   0.524,    0.430,   0.101,      nan,     nan,    3.297,   0.537,    0.853,   0.365,    0.032,   0.009,    0.437,   0.167,    0.238,   0.153,  1
 ngc628-064        ,    64.152,   28.838,    1.925,   4.915,    0.214,   0.546,      nan,     nan,    6.456,   3.687,    1.720,   1.558,    0.130,   0.091,    1.133,   0.893,    0.788,   0.737,  1
 ngc628-065        ,   116.963,   18.663,    0.602,     nan,      nan,     nan,      nan,     nan,    2.381,   0.608,    0.614,   0.326,    0.011,   0.011,    0.294,   0.200,    0.255,   0.194,  0
 ngc628-066        ,    61.341,    8.097,    2.191,   0.731,    0.655,   0.219,      nan,     nan,    4.004,   0.912,    0.869,   0.499,    0.018,   0.009,    0.499,   0.268,    0.245,   0.235,  1
 ngc628-067        ,    69.468,   15.129,    0.311,   0.726,    0.103,   0.240,      nan,     nan,    3.569,   1.093,    0.832,   0.496,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-068        ,    93.659,   14.739,    2.091,   1.177,    0.388,   0.218,      nan,     nan,    3.502,   0.881,    0.890,   0.470,    0.017,   0.015,    0.450,   0.223,    0.335,   0.205,  1
 ngc628-069        ,    53.302,    6.943,    0.887,   0.654,    0.215,   0.158,      nan,     nan,    3.369,   0.693,    1.057,   0.392,    0.028,   0.009,    0.345,   0.168,    0.134,   0.140,  1
